driverStandingsId,driverId,points,position,wins
13194,35,7.0,15,0
13193,21,69.0,4,1
13192,11,0.0,23,0
13191,33,0.0,21,0
13190,15,15.0,12,0
13189,22,28.0,7,0
13188,23,20.0,10,0
13187,26,0.0,20,0
13186,2,23.0,9,0
13185,24,1.0,19,0
13184,14,14.0,13,0
13183,13,70.0,3,1
13182,32,2.0,18,0
13181,3,4.0,17,0
13180,17,7.0,14,0
13179,31,26.0,8,0
13178,18,50.0,6,1
13177,8,61.0,5,0
13176,30,116.0,2,7
13175,4,126.0,1,7
13228,29,0.0,26,0
13227,38,0.0,24,0
13226,9,6.0,16,0
13225,37,19.0,11,0
13224,36,0.0,27,0
13223,34,0.0,25,0
13222,27,0.0,22,0
13221,35,7.0,15,0
13220,21,72.0,4,1
13219,11,0.0,23,0
13218,33,0.0,21,0
